age,gender,height_cm,weight_kg,discipline,session_type,duration_minutes,intensity,distance_m,effort_count,target_calories
33,Male,163.3,88.7,1500m Run,Training,75,High,6956,17,4335
22,Female,179.4,96.8,Triple Jump,Recovery,51,Low,13641,16,2652
21,Male,194.3,61.3,800m Run,Training,135,Medium,5239,8,3779
30,Male,188.0,85.6,Javelin,Training,28,Medium,1607,10,3241
33,Male,191.3,82.2,800m Run,Training,124,Low,14554,10,3242
20,Female,184.6,99.1,1500m Run,Training,97,High,2953,18,4900
34,Male,186.2,103.9,100m Sprint,Recovery,106,Low,12173,10,3254
35,Male,193.2,45.8,100m Sprint,Training,40,Low,5933,9,2158
25,Male,166.2,88.8,200m Sprint,Competition,74,Low,11386,19,3018
19,Female,177.0,48.4,Triple Jump,Competition,95,High,12531,1,3047
30,Male,165.0,80.7,High Jump,Competition,149,Low,4682,4,3127
21,Male,199.4,63.7,Discus,Recovery,145,Low,14853,3,2929
19,Male,197.5,64.9,Shot Put,Training,103,Medium,11284,10,3246
25,Male,156.8,67.9,1500m Run,Recovery,134,Low,6333,12,2600
29,Female,186.8,85.4,200m Sprint,Training,67,Medium,7392,18,3504
17,Male,196.6,66.7,High Jump,Recovery,142,Medium,11154,20,3520
40,Female,163.1,92.6,Triple Jump,Recovery,97,Medium,10854,6,3045
19,Female,180.6,71.3,Hammer,Training,49,High,9047,2,3193
37,Female,196.2,49.4,High Jump,Recovery,48,Medium,6609,10,2211
35,Male,156.5,95.9,High Jump,Training,60,Low,10338,2,2794
19,Female,186.4,63.6,Hammer,Competition,45,Low,14323,9,2298
23,Male,168.4,73.1,1500m Run,Competition,69,Medium,4925,10,3272
29,Female,196.6,89.6,200m Sprint,Competition,21,Medium,9578,2,3048
17,Female,198.7,66.6,Long Jump,Recovery,74,Low,7250,8,2522
20,Female,197.5,48.7,800m Run,Competition,123,Medium,9908,17,3073
31,Female,176.3,69.3,Discus,Training,33,High,5783,17,2772
40,Female,193.8,106.4,200m Sprint,Competition,147,Medium,12343,4,5026
35,Female,193.0,86.7,Hammer,Competition,123,High,9917,18,4861
22,Female,169.4,88.6,Shot Put,Recovery,114,High,10145,12,3846
35,Female,192.3,86.1,High Jump,Training,100,High,13333,17,4310
39,Male,156.7,57.9,Long Jump,Recovery,80,Medium,6723,9,2582
25,Male,181.8,72.2,Hammer,Recovery,31,High,184,19,3124
20,Female,165.4,93.8,1500m Run,Training,32,High,521,14,3534
22,Female,160.4,51.6,400m Sprint,Recovery,108,Medium,13889,14,2405
24,Female,158.5,63.1,Hammer,Training,114,High,10503,17,3433
38,Male,186.3,63.0,Discus,Competition,78,Medium,1248,2,2956
17,Female,170.3,73.1,Discus,Training,56,Low,9850,8,2362
37,Male,187.6,108.7,800m Run,Training,44,High,13349,5,4185
28,Male,157.9,49.4,400m Sprint,Training,35,Medium,1002,7,2318
37,Male,169.2,78.7,Hammer,Recovery,106,Low,6266,16,2679
28,Male,179.3,56.7,Javelin,Training,42,High,11419,16,3065
24,Male,190.6,108.1,Triple Jump,Training,145,High,6444,17,6000
26,Female,169.3,52.4,400m Sprint,Training,79,Medium,14305,7,2477
20,Female,183.2,71.2,High Jump,Competition,119,Low,11330,20,2632
26,Female,194.9,93.0,High Jump,Training,122,Medium,10120,8,4191
37,Female,182.7,90.8,High Jump,Recovery,82,High,14980,8,3772
28,Female,165.5,72.5,High Jump,Training,57,High,7017,11,3173
16,Male,156.1,67.5,200m Sprint,Training,147,High,8585,15,4347
23,Female,194.2,70.8,Discus,Competition,69,High,1617,18,3812
24,Female,156.0,62.2,400m Sprint,Training,59,Low,11833,6,2019
40,Male,194.4,58.3,Discus,Recovery,27,Low,660,12,2230
31,Female,178.8,76.4,Shot Put,Training,27,Medium,5524,15,2508
31,Male,197.3,62.5,400m Sprint,Recovery,123,Medium,7616,6,3331
17,Female,190.9,63.7,200m Sprint,Competition,53,Medium,5250,18,3050
33,Male,199.9,87.7,Shot Put,Training,76,High,12356,20,4352
15,Female,170.8,108.0,Discus,Competition,41,Medium,7512,9,3469
26,Female,189.5,84.2,Shot Put,Training,106,Low,6905,8,2976
21,Male,173.1,50.0,800m Run,Recovery,59,Medium,319,14,2567
18,Male,176.6,49.9,Hammer,Competition,105,Medium,10416,19,3029
24,Male,183.2,106.8,Shot Put,Training,114,Low,8775,19,3719
27,Male,194.3,64.3,400m Sprint,Recovery,32,Low,3600,8,2434
16,Male,199.3,51.0,High Jump,Competition,47,High,5960,2,3153
24,Male,189.6,83.9,High Jump,Training,103,Low,5279,4,3208
35,Male,173.8,85.5,Javelin,Competition,81,Low,8773,6,2895
36,Male,174.0,87.2,Triple Jump,Training,112,Medium,11888,3,3672
39,Female,188.2,62.4,Discus,Recovery,106,Low,1767,3,2221
18,Female,165.7,46.0,800m Run,Recovery,43,High,9748,19,2345
32,Male,160.0,107.7,400m Sprint,Competition,117,Medium,1798,11,4617
19,Female,171.0,61.3,400m Sprint,Competition,26,High,12398,10,2834
33,Female,167.9,88.9,Hammer,Training,56,Low,9190,12,2578
16,Female,168.3,90.9,1500m Run,Recovery,87,High,8949,14,4049
26,Female,165.5,84.7,Javelin,Training,105,High,282,18,3968
31,Male,156.9,65.3,100m Sprint,Recovery,106,Low,14030,9,2545
24,Female,155.8,62.6,Discus,Competition,34,Low,6337,15,1948
16,Male,199.4,83.8,400m Sprint,Training,142,Medium,5166,3,4450
20,Female,174.2,101.3,Long Jump,Training,126,Medium,7121,11,4022
22,Female,172.3,106.5,400m Sprint,Recovery,108,Medium,14677,10,3866
33,Female,185.6,51.9,1500m Run,Recovery,144,Low,7409,18,2263
25,Male,164.8,55.1,Shot Put,Recovery,132,High,14857,4,3136
39,Female,197.7,106.4,200m Sprint,Competition,126,High,5489,13,5644
26,Male,190.4,92.9,Javelin,Training,106,Medium,4896,6,4010
23,Female,159.0,102.4,200m Sprint,Recovery,87,Medium,130,13,3398
16,Male,173.8,58.2,Hammer,Competition,34,Low,1293,20,2255
22,Female,194.6,83.2,Long Jump,Recovery,84,High,6059,5,3982
40,Male,197.5,90.6,Long Jump,Training,73,Medium,6957,20,3526
25,Male,176.0,89.2,Javelin,Recovery,112,Low,60,14,3014
35,Female,182.6,71.5,Javelin,Training,39,Medium,2211,13,2674
18,Male,162.5,46.0,Triple Jump,Competition,52,Low,9740,14,2040
24,Female,199.6,82.9,Hammer,Competition,119,High,12559,8,4603
35,Female,165.4,61.5,Javelin,Recovery,96,Low,9973,16,2053
34,Female,197.4,74.3,200m Sprint,Training,126,Medium,6276,13,3712
30,Female,184.2,107.2,Shot Put,Training,139,Medium,5363,15,4646
22,Female,182.3,70.9,200m Sprint,Training,93,High,8152,19,3673
18,Female,178.1,99.6,100m Sprint,Recovery,30,High,7973,1,3480
24,Female,165.4,57.3,Discus,Training,50,Medium,13745,2,2278
26,Female,162.9,88.7,200m Sprint,Training,31,Medium,37,18,2822
28,Female,164.9,108.5,Hammer,Training,143,Medium,5990,19,4299
30,Female,163.4,51.6,High Jump,Training,97,High,5438,8,2923
36,Female,190.1,45.5,Triple Jump,Recovery,115,Medium,7677,3,2382
32,Male,170.8,73.2,1500m Run,Recovery,69,High,11823,14,3376
35,Male,157.6,51.0,Long Jump,Training,136,Medium,10856,9,2718
36,Female,198.6,93.6,Hammer,Training,36,Low,473,8,2725
35,Female,194.8,104.4,100m Sprint,Competition,148,Low,58,17,3890
26,Female,196.7,73.2,Long Jump,Competition,83,Medium,2636,16,3286
32,Female,199.8,61.8,Hammer,Training,106,Low,14251,10,2455
21,Female,162.8,73.2,Triple Jump,Training,35,High,14834,10,2852
34,Female,172.8,92.0,400m Sprint,Competition,82,Low,14206,6,2973
38,Female,189.1,45.6,Javelin,Competition,95,Low,2614,17,1932
37,Female,186.3,83.3,100m Sprint,Training,104,High,10806,16,4269
21,Male,161.9,84.9,Javelin,Recovery,128,Low,7296,15,2947
23,Female,191.7,86.4,800m Run,Recovery,36,Low,4999,14,2596
15,Male,165.1,60.7,100m Sprint,Training,77,Medium,12670,4,2926
40,Female,165.1,91.4,Triple Jump,Training,98,High,9603,4,4143
20,Female,179.2,50.9,1500m Run,Competition,80,High,8276,2,3004
20,Male,181.7,58.0,100m Sprint,Competition,132,Medium,9725,11,3312
36,Female,181.1,102.0,Triple Jump,Recovery,140,Medium,3797,4,3973
